slang,meaning,twitter_usage_comments,useful_for_further_inspection
Ackee, refers to a former road man who has converted to Islam,slang usage not observed. Many references to a jamaican dish,no
Baby mother, the mandem use the term to describe the mother of their child,slang usage observed. Not related to crime or gang life. ,no
Bad up, to treat someone in a disrespectful manner. It also refers to being,slang usage not observed. ,no
Bait, being too obvious,slang usage not observed as literal meaning is too common,no
Boy dem, the police,slang usage (police) not observed. ,no
Bruk, refers to having no money,slang usage observed but no references to crime or gang culture. Common term on twitter,no
Bussing a skank, to dance,slang usage observed but no references to crime or gang culture. Not common on twitter,no
Fuckery, the mandem often used this term to describe criminal activity or,slang usage observed but no references to crime or gang culture.,no
Garms, clothing,slang usage observed. Some mild references to crime or gang life (such as read impressions). ,maybe
Grind, refers to working hard in the illegal drug economy,slang usage oberved but generally amongst rappers. Some mild references to criminal activity.,maybe
Gwarning with tings, doing well on road,slang usage observed but no references to criminal life. Uncommon,no
Head back lick off, shot in the head,not useful as last tweets were in 2015,no
Hype, exaggerated/over the top behaviour,slang usage observed but no references to crime or gang culture. Common term on twitter,no
Nuff, a lot,slang usage observed but no references to crime or gang culture.,no
Prick, dick head/idiot,"very common, no crime/gang references observed",no
Stunting/Stunter," to show off, a person who shows off",slang usage not observed ,no
Take set on you," refers to being targeted and, potentially victimised by rivals",slang usage observed but no references to crime or gang culture.,no
Wasteman," useless, poor, unsuccessful",slang usage observed but no references to crime or gang culture.,no
Warring," to fight, ongoing conflict",slang usage observed but no references to crime or gang culture.,no
,,,ba
